"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","1528-1969-ND","1992","GPIO HEADER FOR RASPBERRYPI A+/B","","2","0","2.95000","5.90"
"2","5","283-HCM1A1305V3-1R5-RCT-ND","HCM1A1305V3-1R5-R","FIXED IND 1.5UH 19A 3 MOHM SMD","","5","0","0.62000","3.10"
"3","5","296-BQ25306RTERCT-ND","BQ25306RTER","STANDALONE 17-V, 3-A SINGLE CELL","","5","0","2.10000","10.50"
"4","25","541-27.0HCT-ND","CRCW060327R0FKEA","RES SMD 27 OHM 1% 1/8W 0603","","25","0","0.02400","0.60"
"5","10","490-9647-1-ND","PKMCS0909E4000-R1","BUZZER PIEZO 9X9MM SMD","","10","0","0.71700","7.17"
"6","5","240-2390-1-ND","MI0805K601R-10","FERRITE BEAD 600 OHM 0805 3LN","","5","0","0.11000","0.55"
"7","5","4461-AMPI0640ED2R2MTCT-ND","AMPI0640ED2R2MT","FIXED IND 2.2UH 9A 10 MOHM SMD","","5","0","0.18000","0.90"
"8","10","1267-MMC5603NJCT-ND","MMC5603NJ","SEN MR I2C/I3C 4-WLP","","10","0","0.58000","5.80"
"9","2","P16767CT-ND","EVQ-P7J01P","SWITCH TACTILE SPST-NO 0.05A 12V","","0","2","0.29000","0.58"
"10","5","668-DMM-4026-B-I2S-RCT-ND","DMM-4026-B-I2S-R","MIC MEMS DIGITAL I2S OMNI -26DB","","5","0","2.94000","14.70"
"11","10","MSS1P4-M3/89AGICT-ND","MSS1P4-M3/89A","DIODE SCHOTTKY 40V 1A MICROSMP","","10","0","0.06700","0.67"
"12","5","497-STM32C011F6U6TRCT-ND","STM32C011F6U6TR","IC MCU 32BIT 32KB FLASH 20UFQFPN","","5","0","0.95000","4.75"
"13","5","2987-CP-01404140-ND","CP-01404140","4.20MM 4 POS DUAL ROWS RIGHT ANG","","5","0","0.20000","1.00"
"14","10","31-2N7002K-7-WCT-ND","2N7002K-7-W","MOSFET N-CH 60V 380MA SOT23-3","","10","0","0.12800","1.28"
"15","10","497-16898-1-ND","LDL212PVR","IC REG LINEAR POS ADJ 1.2A 6-DFN","","10","0","0.30400","3.04"
"16","10","SI7615ADN-T1-GE3CT-ND","SI7615ADN-T1-GE3","MOSFET P-CH 20V 35A PPAK1212-8","","10","0","0.76700","7.67"
"17","5","497-18060-1-ND","STUSB4500QTR","IC USB CONTROLLER I2C 24QFN","","5","0","1.96000","9.80"
"18","5","497-15315-1-ND","STL6P3LLH6","MOSFET P-CH 30V 6A POWERFLAT","","5","0","1.61000","8.05"
"19","5","296-27668-1-ND","BQ29200DRBR","IC BATT PROT LI-ION 2CELL 8SON","","5","0","0.96000","4.80"
"20","5","732-8492-1-ND","865080245009","CAP ALUM 220UF 20% 10V SMD","","5","0","0.33000","1.65"
"21","5","732-8438-1-ND","865080445010","CAP ALUM 100UF 20% 25V SMD","","5","0","0.33000","1.65"
"22","5","2987-CP-01104030-ND","CP-01104030","CONN RCPT HSG 4POS 4.20MM","","5","0","0.10000","0.50"
"23","30","1727-NPS3005BGPZCT-ND","NPS3005BGPZ","NPS3005BGP/SOT8067/HWSON8","","30","0","0.36300","10.89"
"24","25","2987-CP-01100104CT-ND","CP-01100104","4.20MM RECEPTACLE CRIMP TERMINAL","","25","0","0.04600","1.15"
"25","10","490-3254-1-ND","GRM155R71E473KA88D","CAP CER 0.047UF 25V X7R 0402","","10","0","0.02200","0.22"
"26","20","4878-SK34SMA-3GCT-ND","SK34SMA-3G","DIODE SCHOTTKY 40V 3A SMA","","20","0","0.07800","1.56"
"27","20","490-7203-1-ND","GRM188R61E475KE11D","CAP CER 4.7UF 25V X5R 0603","","20","0","0.13500","2.70"
"28","100","490-10731-1-ND","GRM188R61E225KA12D","CAP CER 2.2UF 25V X5R 0603","","100","0","0.02970","2.97"
"29","10","490-1300-1-ND","GRM155R71H471KA01D","CAP CER 470PF 50V X7R 0402","","10","0","0.03700","0.37"
"30","25","P15KDBCT-ND","ERA-3AEB153V","RES SMD 15K OHM 0.1% 1/10W 0603","","25","0","0.08080","2.02"
"31","100","CR0603-FX-1002ELFCT-ND","CR0603-FX-1002ELF","RES SMD 10K OHM 1% 1/10W 0603","","100","0","0.01300","1.30"
"32","25","311-19.1KHRCT-ND","RC0603FR-0719K1L","RES 19.1K OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"33","25","P10.7KHCT-ND","ERJ-3EKF1072V","RES SMD 10.7K OHM 1% 1/10W 0603","","25","0","0.02880","0.72"
"34","50","1276-1184-1-ND","CL10B105KA8NNNC","CAP CER 1UF 25V X7R 0603","","50","0","0.02440","1.22"
"35","100","1292-0805X106K250CT-ND","0805X106K250CT","CAP CER 10UF 25V X5R 0805","","100","0","0.03040","3.04"
"36","25","311-13.7KHRCT-ND","RC0603FR-0713K7L","RES 13.7K OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"37","25","311-22.0KHRCT-ND","RC0603FR-0722KL","RES 22K OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"38","10","541-261HCT-ND","CRCW0603261RFKEA","RES SMD 261 OHM 1% 1/8W 0603","","10","0","0.03200","0.32"
"39","5","296-TPS51388VABRCT-ND","TPS51388VABR","SYNCHRONOUS BUCK CONVERTER","","5","0","1.34000","6.70"
"40","10","P17.4KHCT-ND","ERJ-3EKF1742V","RES SMD 17.4K OHM 1% 1/10W 0603","","10","0","0.03900","0.39"
"41","50","RNCP0603FTD1K00CT-ND","RNCP0603FTD1K00","RES 1K OHM 1% 1/8W 0603","","50","0","0.01060","0.53"
"42","50","RMCF0603FT100RCT-ND","RMCF0603FT100R","RES 100 OHM 1% 1/10W 0603","","50","0","0.01200","0.60"
"43","10","CR0603-FX-9092ELFCT-ND","CR0603-FX-9092ELF","RES SMD 90.9K OHM 1% 1/10W 0603","","10","0","0.02700","0.27"
"44","25","P78.7KHCT-ND","ERJ-3EKF7872V","RES SMD 78.7K OHM 1% 1/10W 0603","","25","0","0.02880","0.72"
"45","10","541-160HCT-ND","CRCW0603160RFKEA","RES SMD 160 OHM 1% 1/8W 0603","","10","0","0.03200","0.32"
"46","10","490-GCM1885C1H332FA16DCT-ND","GCM1885C1H332FA16D","CAP CER 3300PF 50V C0G/NP0 0603","","10","0","0.10700","1.07"
"47","10","311-36.5KHRCT-ND","RC0603FR-0736K5L","RES 36.5K OHM 1% 1/10W 0603","","10","0","0.02400","0.24"
"48","25","311-38.3KHRCT-ND","RC0603FR-0738K3L","RES 38.3K OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"49","25","CR0603-FX-2702ELFCT-ND","CR0603-FX-2702ELF","RES SMD 27K OHM 1% 1/10W 0603","","25","0","0.02000","0.50"
"50","4","308-1569-1-ND","CDMC6D28NP-2R2MC","FIXED IND 2.2UH 6A 19.3 MOHM SMD","","4","0","0.89000","3.56"
"51","25","13-RC0603FR-0733RLCT-ND","RC0603FR-0733RL","RES 33 OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"52","25","311-47.0KHRCT-ND","RC0603FR-0747KL","RES 47K OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"53","50","1276-1784-1-ND","CL10A475KO8NNNC","CAP CER 4.7UF 16V X5R 0603","","50","0","0.04580","2.29"
"54","25","RR08P11.0KDCT-ND","RR0816P-113-D","RES SMD 11K OHM 0.5% 1/16W 0603","","25","0","0.02440","0.61"
"55","25","RMCF0603FT8K06CT-ND","RMCF0603FT8K06","RES 8.06K OHM 1% 1/10W 0603","","25","0","0.01520","0.38"
"56","5","223-1622-1-ND","MS561101BA03-50","SENSOR 17.4PSIA 24BIT","","5","0","9.62000","48.10"
"57","5","MLX90393ELW-ABA-011-SP-ND","MLX90393ELW-ABA-011-SP","SEN HALL EFFECT I2C/SPI 16-QFN","","5","0","2.06200","10.31"
"58","5","497-6632-1-ND","ESDA5V3L","TVS DIODE 3VWM SOT23-3","","5","0","0.36000","1.80"
"59","2","497-17728-1-ND","IIS2MDCTR","SEN MR I2C/SPI 12-LGA","","2","0","2.67000","5.34"
"60","25","311-9.09KHRCT-ND","RC0603FR-079K09L","RES 9.09K OHM 1% 1/10W 0603","","25","0","0.01720","0.43"
"61","4","SI7232DN-T1-GE3CT-ND","SI7232DN-T1-GE3","MOSFET 2N-CH 20V 25A PPAK 1212","","4","0","1.29000","5.16"
"62","10","478-7800-1-ND","SD0805S020S1R0","DIODE SCHOTTKY 20V 1A 0805","","10","0","0.31700","3.17"
"63","5","296-29934-1-ND","TPS62130RGTT","IC REG BUCK ADJ 3A 16VQFN","","5","0","2.74000","13.70"
"64","10","102-CMT-7525-80-SMT-CT-ND","CMT-7525-80-SMT-TR","BUZZER MAGNETIC 3.6V 7.5X7.5 SMD","","10","0","1.37800","13.78"
"65","10","AP7362-33SP-13DICT-ND","AP7362-33SP-13","IC REG LINEAR 3.3V 1.5A 8-SO-EP","","10","0","0.28400","2.84"
